point	title	description	icon	iconSize	iconOffset
39.278822,-106.0581709	Place Of Interest	<div class="small_txt">BUCKSKIN JOE,CO</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
44.853696,-122.9337569	Place Of Interest	<div class="small_txt">MINTO INDUSTRIAL PARK</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
36.827198,-84.8355939	Place Of Interest	<div class="small_txt">CSX RUSSELL KY YARD</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
41.681090593338,-87.612221032382	Place Of Interest	<div class="small_txt">BARR YARD,IL</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
38.845165253733,-104.73128032788	Place Of Interest	<div class="small_txt">FALCON,CO</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
38.842304,-104.8867754	Place Of Interest	<div class="small_txt">COLORADO CITY,CO</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
41.821525,-87.7386539	Place Of Interest	<div class="small_txt">CLYDE YARD,IL</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
43.289567,-103.8168838	Place Of Interest	<div class="small_txt">EDGEMONT,SD</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
39.700031,-105.1618589	Place Of Interest	<div class="small_txt">BUCKS YARD,CO</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
41.643919,-87.523984	Place Of Interest	<div class="small_txt">BRC CHICAGO</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
37.743247,-84.7472189	Place Of Interest	<div class="small_txt">FROST RIVER, KY</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
42.8260387,-78.7951676	Place Of Interest	<div class="small_txt">BIX WAREHOUSE</div>	http://localhost/Applications/interchangecars2/images/information.png	18,18	0,-18
40.3270127,-86.1746933	IN,USA	<table><tr><td><img src="http://localhost/Applications/interchangecars2/images/steamtrain.png" alt="20160304-100 In Transit" title="20160304-100 In Transit" /></td><td class="small_txt">SOUTH BEND</td><td>&nbsp;</td></tr></table>	http://localhost/Applications/interchangecars2/images/steamtrain.png	35,35	-20,-35
